DATE,barley,maize,soy,wheat
1996-07-01,133.090579693302,197.619995117188,288.76542688125,196.38691057971
1996-08-01,115.008002865828,186.820068359375,296.29863773125,181.497011666667
1996-09-01,103.39967135293,145.239181518555,297.49292725625,170.980528888889
1996-10-01,102.405997426136,128.608795166016,259.8039059,169.595984927536
1996-11-01,99.994769757242,117.136840820313,255.27938596875,169.265824444444
1996-12-01,100.755612016361,116.835014343262,257.16268868125,167.831071746032
1997-01-01,98.9672194468244,118.695167541504,268.09503125625,167.790752608696
1997-02-01,97.7272727272727,121.746200561523,280.54320284375,164.170702666667
1997-03-01,99.7499690194849,127.860580444336,305.8759210375,167.708592857143
1997-04-01,97.8688881671708,124.712875366211,313.363197675,175.56792
1997-05-01,100.065988567731,118.610809326172,319.8399216375,168.402905
1997-06-01,94.9435685486784,112.58137512207,304.7734999375,141.200661904762
1997-07-01,91.664961282273,106.420722961426,281.1633147125,130.408065652174
1997-08-01,91.2956994233219,111.951019287109,267.58975491875,139.345981587302
1997-09-01,92.507805120736,112.236907958984,255.21048465,138.239695
1997-10-01,102.707709978313,120.244216918945,250.7548660375,136.207174782609
1997-11-01,102.265215488748,117.404762268066,265.43084693125,135.382039833333
1997-12-01,97.0818674926766,113.604362487793,254.59037278125,129.729106594203
1998-01-01,95.7707817130642,114.367256164551,246.00067504375,127.350208333333
1998-02-01,91.4872696081508,113.61873626709,247.42463563125,128.308884
1998-03-01,93.0414376201932,113.840438842773,240.12109584375,128.235396666667
1998-04-01,91.8536961787464,106.687858581543,235.091299575,118.197695
1998-05-01,93.0103806228374,105.966926574707,236.1477864625,118.349600634921
1998-06-01,91.5745652946945,101.751693725586,231.11799019375,112.368813333333
1998-07-01,85.202637752667,100.904479980469,232.42711525,106.620535362319
1998-08-01,73.2024186079108,88.3582077026367,202.2483376375,97.00328
1998-09-01,73.1180170493938,85.7144470214844,193.3371004125,97.5711366666667
1998-10-01,74.739165329053,95.494758605957,200.75547573125,112.155668253968
1998-11-01,79.2596971488336,97.3845291137695,209.89638401875,115.611322619048
1998-12-01,78.3881738640617,95.3247604370117,204.9125219625,111.804587463768
1999-01-01,77.7065919648682,97.4518737792969,195.036666275,111.893213492063
1999-02-01,75.3083040107898,94.5640047227443,179.67167219375,104.278526
1999-03-01,75.1954470570615,96.4264500776398,175.0552838375,104.575670434783
1999-04-01,79.7279204276744,94.0384785289116,177.5357313125,102.331111666667
1999-05-01,81.5259396053487,92.7170656696428,171.44944815625,99.6103306349206
1999-06-01,80.5440560392572,92.9470118303571,170.0025204625,99.9427733333333
1999-07-01,76.8615913701151,83.5984030357143,158.31226338125,93.0139676190476
1999-08-01,75.145145001412,86.3819147321428,172.00065870625,98.0220816666666
1999-09-01,71.4372773933181,87.1209208758503,180.63629065625,94.79866
1999-10-01,72.2944802765207,85.6504712053571,178.1788102875,88.5522366666667
1999-11-01,73.140271827952,85.4093406300459,171.1968099875,91.6754483333333
